;Bank;;Navn;Nominell;Sikkerhetsgebyr;Etableringsgebyr;Termin;Effektiv
1;Nordnet Bank (Nordnet Bank AB);;Boliglån Private Banking (nivå 4);3,39;0;0;0;3,44
2;Statens pensjonskasse;;Boliglån inntil 80 %;3,35;0;0;50;3,46
3;Høland og Setskog Sparebank;;Grønt Boliglån spesial;3,54;0;0;75;3,69
4;Nordnet Bank (Nordnet Bank AB);;Boliglån Private Banking (nivå 3);3,74;0;0;0;3,80
5;Bulder (Sparebanken Vest);;Boliglån innenfor 50 %;3,78;0;0;0;3,85
6;OBOS-banken AS;;Grønt boliglån;3,75;0;0;35;3,86
7;Bulder (Sparebanken Vest);;Boliglån innenfor 55 %;3,86;0;0;0;3,93
8;Sbanken ASA;;Boliglån 50 % - lån til fritidsbolig;3,88;0;0;0;3,95
9;Sbanken ASA;;Boliglån 50 %;3,88;0;0;0;3,95
10;NORDEA BANK ABP, FILIAL I NORGE;;ECONA - Boliglån UNG;3,84;0;0;45;3,96
11;Valdres Sparebank;;Boliglån miljølån inntil 75%;3,85;750;0;50;3,98
12;Høland og Setskog Sparebank;;Grønt Boliglån;3,84;0;0;75;4,00
13;Landkreditt Bank AS;;Grønt Boliglån 50%;3,94;500;0;0;4,01
14;Bulder (Sparebanken Vest);;Boliglån innenfor 60 %;3,96;0;0;0;4,03
15;Sbanken ASA;;Boliglån 60%;3,98;0;0;0;4,05
16;Sbanken ASA;;Boliglån 60 % - lån til fritidsbolig;3,98;0;0;0;4,05
17;Landkreditt Bank AS;;Grønt Boliglån 75%;3,99;500;0;0;4,06
18;Landkreditt Bank AS;;Boliglån 50%;3,99;500;0;0;4,06
19;Nordnet Bank (Nordnet Bank AB);;Boliglån Private Banking (nivå 2);3,99;0;0;0;4,06
20;SpareBank 1 Nordmøre;;Grønt førstehjemslån;3,90;1200;0;75;4,06
21;NORDEA BANK ABP, FILIAL I NORGE;;ECONA - Boliglån u/50 %;3,94;0;0;45;4,07
22;NORDEA BANK ABP, FILIAL I NORGE;;YS - Boliglån u/50 %;3,94;0;0;50;4,07
23;NORDEA BANK ABP, FILIAL I NORGE;;UNIO - Boliglån u/50 %;3,94;0;0;50;4,07
24;Nybygger.no (Sparebanken Øst);;Boliglån 40%;4,00;0;0;0;4,07
25;Bulder (Sparebanken Vest);;Boliglån innenfor 65 %;4,01;0;0;0;4,08
26;Larvikbanken;;Grønt boliglån;3,95;0;0;55;4,09
27;Nybygger.no (Sparebanken Øst);;Boliglån 50%;4,02;0;0;0;4,09
28;Himla Banktjenester (Fana Sparebank);;Boliglån innenfor 75 %;4,02;0;0;0;4,09
29;OBOS-banken AS;;OBOS Nyboliglån;3,99;0;0;35;4,11
30;OBOS-banken AS;;Boliglån 50 %;3,99;0;0;35;4,11
31;Ørskog Sparebank;;Grønt bustadlån;3,95;1000;0;70;4,11
32;NORDEA BANK ABP, FILIAL I NORGE;;ECONA - Hyttelån;3,99;0;0;45;4,12
33;Handelsbanken NUF;;Juristforbundet Boliglån;3,99;0;0;45;4,12
34;NORDEA BANK ABP, FILIAL I NORGE;;ECONA - Boliglån u/75 %;3,99;0;0;45;4,12
