Year,Produksjon,Anslått produksjon
1970,0,NA
1971,0.4,NA
1972,1.9,NA
1973,1.9,NA
1974,2,NA
1975,11,NA
1976,16.2,NA
1977,19.4,NA
1978,35.3,NA
1979,44.8,NA
1980,56.4,NA
1981,55,NA
1982,54.9,NA
1983,61.5,NA
1984,69.4,NA
1985,73.3,NA
1986,78.8,NA
1987,89.5,NA
1988,98.2,NA
1989,120,NA
1990,125.6,NA
1991,139,NA
1992,155.5,NA
1993,163.4,NA
1994,183.7,NA
1995,197,NA
1996,226.3,NA
1997,233.7,NA
1998,228.2,NA
1999,229.9,NA
2000,241.3,NA
2001,251.6,NA
2002,258.3,NA
2003,261.7,NA
2004,264.2,NA
2005,257.6,NA
2006,249.1,NA
2007,237.6,NA
2008,243,NA
2009,240,NA
2010,230.6,NA
2011,218.7,NA
2012,224.6,NA
2013,213.7,NA
2014,216.4,NA
2015,227.8,NA
2016,230.7,NA
2017,236.8,NA
2018,227.3,NA
2019,215.4,NA
2020,226.9,NA
2021,230.8,NA
2022,232.8,NA
2023,233.2,233.2
2024,NA,233.1
2025,NA,243
2026,NA,237.7
2027,NA,231.5
2028,NA,223.9
2029,NA,210.4
2030,NA,197.9
2031,NA,187.6
2032,NA,179.6
2033,NA,175.1
2034,NA,171.7
2035,NA,167.1
2036,NA,161.8
2037,NA,156.9
2038,NA,151.3
2039,NA,144
2040,NA,137
2041,NA,129.7
2042,NA,122.5
2043,NA,115.9
2044,NA,109.9
2045,NA,105
2046,NA,100.3
2047,NA,96.1
2048,NA,91.8
2049,NA,87.4
2050,NA,83.2
2051,NA,79.3
2052,NA,76.2
2053,NA,73.3
2054,NA,71.3
2055,NA,69.1
2056,NA,67.1
2057,NA,64.9
2058,NA,62.6
2059,NA,60.1
2060,NA,57.6
