Year,1. Kvotepliktig utslipp (unntatt luftfart og petroleum),2. Ikke-kvotepliktig utslipp,3. Petroleum,4. Luftfart,5. Opptak og utslipp i skog- og arealbruk,Lav bane,"Høy bane (IPCC 1,5°-bane - median)"
2024,934,1176,1724,1608,934,701,1893
2025,951,1382,1902,1784,951,713,2043
2026,970,1587,2115,2000,970,727,2206
2027,990,1793,2370,2265,990,743,2382
2028,1015,1998,2410,2410,1015,761,2571
2029,1040,2204,2410,2410,1040,780,2776
2030,1066,2410,2410,2410,1066,800,2997
2031,1129,2410,2410,2410,1129,832,3177
2032,1196,2410,2410,2410,1196,865,3368
2033,1266,2410,2410,2410,1266,900,3571
2034,1341,2410,2410,2410,1341,936,3785
2035,1420,2410,2410,2410,1420,973,4013
2036,1503,2410,2410,2410,1503,1012,4254
2037,1592,2410,2410,2410,1592,1052,4510
2038,1686,2410,2410,2410,1686,1094,4781
2039,1785,2410,2410,2410,1785,1138,5068
2040,1890,2410,2410,2410,1890,1184,5373
2041,1915,2410,2410,2410,1915,1231,5636
2042,1939,2410,2410,2410,1939,1280,5911
2043,1965,2410,2410,2410,1965,1332,6200
2044,1990,2410,2410,2410,1990,1385,6503
2045,2016,2410,2410,2410,2016,1440,6820
2046,2042,2410,2410,2410,2042,1498,7154
2047,2068,2410,2410,2410,2068,1558,7503
2048,2095,2410,2410,2410,2095,1620,7870
2049,2122,2410,2410,2410,2122,1685,8254
2050,2150,2410,2410,2410,2150,1752,8658
2051,2236,2410,2410,2410,2236,1822,8753
2052,2325,2410,2410,2410,2325,1895,8849
2053,2418,2418,2418,2418,2418,1971,8946
2054,2515,2515,2515,2515,2515,2050,9044
2055,2616,2616,2616,2616,2616,2132,9143
2056,2720,2720,2720,2720,2720,2217,9244
2057,2829,2829,2829,2829,2829,2306,9345
2058,2942,2942,2942,2942,2942,2398,9448
2059,3060,3060,3060,3060,3060,2494,9552
2060,3183,3183,3183,3183,3183,2594,9657
2061,3310,3310,3310,3310,3310,2697,9751
2062,3442,3442,3442,3442,3442,2805,9846
2063,3580,3580,3580,3580,3580,2918,9942
2064,3687,3687,3687,3687,3687,3005,10039
2065,3798,3798,3798,3798,3798,3095,10137
2066,3912,3912,3912,3912,3912,3188,10235
2067,4029,4029,4029,4029,4029,3284,10335
2068,4150,4150,4150,4150,4150,3382,10436
2069,4275,4275,4275,4275,4275,3484,10538
2070,4403,4403,4403,4403,4403,3588,10640
2071,4535,4535,4535,4535,4535,3696,10724
2072,4671,4671,4671,4671,4671,3807,10808
2073,4811,4811,4811,4811,4811,3921,10892
2074,4955,4955,4955,4955,4955,4039,10977
2075,5104,5104,5104,5104,5104,4160,11063
2076,5257,5257,5257,5257,5257,4284,11150
2077,5415,5415,5415,5415,5415,4413,11237
2078,5577,5577,5577,5577,5577,4545,11325
2079,5745,5745,5745,5745,5745,4682,11414
2080,5917,5917,5917,5917,5917,4822,11503
2081,6095,6095,6095,6095,6095,4967,11638
2082,6277,6277,6277,6277,6277,5116,11775
2083,6466,6466,6466,6466,6466,5269,11913
2084,6660,6660,6660,6660,6660,5427,12052
2085,6859,6859,6859,6859,6859,5590,12194
2086,7065,7065,7065,7065,7065,5758,12337
2087,7277,7277,7277,7277,7277,5931,12481
2088,7496,7496,7496,7496,7496,6109,12628
2089,7720,7720,7720,7720,7720,6292,12776
2090,7952,7952,7952,7952,7952,6481,12926
2091,8191,8191,8191,8191,8191,6675,13087
2092,8436,8436,8436,8436,8436,6875,13251
2093,8689,8689,8689,8689,8689,7082,13417
2094,8863,8863,8863,8863,8863,7223,13585
2095,9040,9040,9040,9040,9040,7368,13754
2096,9221,9221,9221,9221,9221,7515,13926
2097,9406,9406,9406,9406,9406,7665,14101
2098,9594,9594,9594,9594,9594,7819,14277
2099,9786,9786,9786,9786,9786,7975,14455
2100,9981,9981,9981,9981,9981,8134,14636
