"","Year","Produksjon","Anslått produksjon","kilde (aktivitet)","value"
"1",1990,125.6,NA,"Totalt fra offshore",7839
"2",1991,139,NA,"Totalt fra offshore",7692
"3",1992,155.5,NA,"Totalt fra offshore",8300
"4",1993,163.4,NA,"Totalt fra offshore",8751
"5",1994,183.7,NA,"Totalt fra offshore",9232
"6",1995,197,NA,"Totalt fra offshore",9410
"7",1996,226.3,NA,"Totalt fra offshore",10222
"8",1997,233.7,NA,"Totalt fra offshore",10719
"9",1998,228.2,NA,"Totalt fra offshore",10505
"10",1999,229.9,NA,"Totalt fra offshore",11051
"11",2000,241.3,NA,"Totalt fra offshore",12267
"12",2001,251.6,NA,"Totalt fra offshore",12888
"13",2002,258.3,NA,"Totalt fra offshore",12481
"14",2003,261.7,NA,"Totalt fra offshore",12562
"15",2004,264.2,NA,"Totalt fra offshore",12752
"16",2005,257.6,NA,"Totalt fra offshore",12711
"17",2006,249.1,NA,"Totalt fra offshore",12342
"18",2007,237.6,NA,"Totalt fra offshore",11866
"19",2008,243,NA,"Totalt fra offshore",11899
"20",2009,240,NA,"Totalt fra offshore",11442
"21",2010,230.6,NA,"Totalt fra offshore",11385
"22",2011,218.7,NA,"Totalt fra offshore",11138
"23",2012,224.6,NA,"Totalt fra offshore",11152
"24",2013,213.7,NA,"Totalt fra offshore",11291
"25",2014,216.4,NA,"Totalt fra offshore",11742
"26",2015,227.8,NA,"Totalt fra offshore",12301
"27",2016,230.7,NA,"Totalt fra offshore",12000
"28",2017,236.8,NA,"Totalt fra offshore",11702
"29",2018,227.3,NA,"Totalt fra offshore",11698
"30",2019,215.4,NA,"Totalt fra offshore",11588
"31",2020,226.9,NA,"Totalt fra offshore",11247
"32",2021,230.8,NA,"Totalt fra offshore",10915
"33",2022,232.8,NA,"Totalt fra offshore",10361
"34",2023,233.2,233.2,"Totalt fra offshore",NA
"35",2024,NA,233.1,NA,NA
"36",2025,NA,243,NA,NA
"37",2026,NA,237.7,NA,NA
"38",2027,NA,231.5,NA,NA
"39",2028,NA,223.9,NA,NA
"40",2029,NA,210.4,NA,NA
"41",2030,NA,197.9,NA,NA
"42",2031,NA,187.6,NA,NA
"43",2032,NA,179.6,NA,NA
"44",2033,NA,175.1,NA,NA
"45",2034,NA,171.7,NA,NA
"46",2035,NA,167.1,NA,NA
"47",2036,NA,161.8,NA,NA
"48",2037,NA,156.9,NA,NA
"49",2038,NA,151.3,NA,NA
"50",2039,NA,144,NA,NA
"51",2040,NA,137,NA,NA
"52",2041,NA,129.7,NA,NA
"53",2042,NA,122.5,NA,NA
"54",2043,NA,115.9,NA,NA
"55",2044,NA,109.9,NA,NA
"56",2045,NA,105,NA,NA
"57",2046,NA,100.3,NA,NA
"58",2047,NA,96.1,NA,NA
"59",2048,NA,91.8,NA,NA
"60",2049,NA,87.4,NA,NA
"61",2050,NA,83.2,NA,NA
"62",2051,NA,79.3,NA,NA
"63",2052,NA,76.2,NA,NA
"64",2053,NA,73.3,NA,NA
"65",2054,NA,71.3,NA,NA
"66",2055,NA,69.1,NA,NA
"67",2056,NA,67.1,NA,NA
"68",2057,NA,64.9,NA,NA
"69",2058,NA,62.6,NA,NA
"70",2059,NA,60.1,NA,NA
"71",2060,NA,57.6,NA,NA
